/home/takayuki/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:619: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
cpu
Epoch 79 - Train Loss: 576154437379289.2, Train r2: 0.006742119789123535, Val Loss: 578388331794191.0, Val r2: 0.007376194000244141
Epoch 80 - Train Loss: 575310465120814.5, Train r2: 0.006738424301147461, Val Loss: 576492804428498.9, Val r2: 0.007338345050811768
Epoch 81 - Train Loss: 576715094316373.4, Train r2: 0.006741762161254883, Val Loss: 578800101914744.5, Val r2: 0.007381260395050049
Epoch 82 - Train Loss: 576277135769103.5, Train r2: 0.0067446231842041016, Val Loss: 577247510713042.9, Val r2: 0.007415831089019775
Epoch 83 - Train Loss: 576197637185287.8, Train r2: 0.0067424774169921875, Val Loss: 579178994613308.2, Val r2: 0.0074253082275390625
Epoch 84 - Train Loss: 575303483765356.6, Train r2: 0.006747901439666748, Val Loss: 578334360477214.1, Val r2: 0.007351517677307129
Epoch 85 - Train Loss: 576174846608353.0, Train r2: 0.006741762161254883, Val Loss: 576742644807800.5, Val r2: 0.007428109645843506
Epoch 86 - Train Loss: 575243144253812.4, Train r2: 0.006747424602508545, Val Loss: 579651569312225.9, Val r2: 0.007350027561187744
Epoch 87 - Train Loss: 575223842321004.6, Train r2: 0.0067476630210876465, Val Loss: 578003989461112.5, Val r2: 0.007383823394775391
Epoch 88 - Train Loss: 575501392889297.5, Train r2: 0.006748080253601074, Val Loss: 578632760040990.1, Val r2: 0.007368206977844238
Epoch 89 - Train Loss: 575597060133732.9, Train r2: 0.006741225719451904, Val Loss: 574040624826247.5, Val r2: 0.0073435306549072266
Epoch 90 - Train Loss: 576587609335994.1, Train r2: 0.006749451160430908, Val Loss: 572874807667049.4, Val r2: 0.007340729236602783
Epoch 91 - Train Loss: 576465987738406.8, Train r2: 0.006750047206878662, Val Loss: 574094232965842.9, Val r2: 0.0073473453521728516
Epoch 92 - Train Loss: 575915987892286.0, Train r2: 0.006749927997589111, Val Loss: 582462203016372.8, Val r2: 0.007349133491516113
Epoch 93 - Train Loss: 575969744634352.5, Train r2: 0.006750047206878662, Val Loss: 578423009312768.0, Val r2: 0.007347762584686279
Epoch 94 - Train Loss: 575061456664141.6, Train r2: 0.006749331951141357, Val Loss: 585107105459501.1, Val r2: 0.007347762584686279
Epoch 95 - Train Loss: 576510731048277.4, Train r2: 0.0067501068115234375, Val Loss: 581128177489558.6, Val r2: 0.007342517375946045
Epoch 96 - Train Loss: 576480346493300.4, Train r2: 0.0067501068115234375, Val Loss: 577441526386447.0, Val r2: 0.007345080375671387
Epoch 97 - Train Loss: 575513384531533.6, Train r2: 0.006750226020812988, Val Loss: 579412620306793.4, Val r2: 0.007345080375671387
Epoch 98 - Train Loss: 575928366427291.1, Train r2: 0.0067501068115234375, Val Loss: 575809111164807.5, Val r2: 0.007349908351898193
Epoch 99 - Train Loss: 576144311058432.0, Train r2: 0.0067498087882995605, Val Loss: 582337011430580.8, Val r2: 0.007345438003540039
Epoch 100 - Train Loss: 575337242065951.0, Train r2: 0.006750702857971191, Val Loss: 579602348908062.1, Val r2: 0.007348001003265381
Epoch 101 - Train Loss: 576480110595475.4, Train r2: 0.006750583648681641, Val Loss: 581630264298315.2, Val r2: 0.007348120212554932
Epoch 102 - Train Loss: 576342771288498.4, Train r2: 0.0067501068115234375, Val Loss: 583950042059474.9, Val r2: 0.007345974445343018
Epoch 103 - Train Loss: 575273212075287.2, Train r2: 0.006750702857971191, Val Loss: 583055447347922.9, Val r2: 0.007343292236328125
Epoch 104 - Train Loss: 576296830187085.6, Train r2: 0.006750345230102539, Val Loss: 580232185334603.2, Val r2: 0.007342875003814697
Epoch 105 - Train Loss: 575331922163277.6, Train r2: 0.006749212741851807, Val Loss: 577624950702080.0, Val r2: 0.007334649562835693
Epoch 106 - Train Loss: 575598423663833.2, Train r2: 0.006750583648681641, Val Loss: 581557816332047.0, Val r2: 0.0073359012603759766
Epoch 107 - Train Loss: 575920522316210.4, Train r2: 0.006750226020812988, Val Loss: 572843742184387.8, Val r2: 0.007346093654632568
Epoch 108 - Train Loss: 576696501093841.5, Train r2: 0.006750702857971191, Val Loss: 583060216024847.0, Val r2: 0.00734788179397583
Epoch 109 - Train Loss: 576142962780346.1, Train r2: 0.006750702857971191, Val Loss: 580378816228653.1, Val r2: 0.007355868816375732
Epoch 110 - Train Loss: 576425204359912.8, Train r2: 0.00675123929977417, Val Loss: 576113688691651.8, Val r2: 0.007361352443695068
Epoch 111 - Train Loss: 575772174613535.0, Train r2: 0.006751596927642822, Val Loss: 575395728457728.0, Val r2: 0.007363617420196533
Epoch 112 - Train Loss: 575856067302741.4, Train r2: 0.0067511796951293945, Val Loss: 582361709466322.9, Val r2: 0.007365882396697998
Epoch 113 - Train Loss: 575643570135288.2, Train r2: 0.006751835346221924, Val Loss: 580817459501658.4, Val r2: 0.007369339466094971
Epoch 114 - Train Loss: 575922744534729.8, Train r2: 0.006752073764801025, Val Loss: 571216630536794.4, Val r2: 0.007370352745056152
Epoch 115 - Train Loss: 575807279158613.4, Train r2: 0.006752371788024902, Val Loss: 575799666579094.6, Val r2: 0.007379472255706787
Epoch 116 - Train Loss: 575494446105072.5, Train r2: 0.006752371788024902, Val Loss: 575439980832165.6, Val r2: 0.007379591464996338
Epoch 117 - Train Loss: 575783580070012.1, Train r2: 0.006752371788024902, Val Loss: 582025142723041.9, Val r2: 0.00738149881362915
Epoch 118 - Train Loss: 575084527878144.0, Train r2: 0.006753206253051758, Val Loss: 576142097452815.0, Val r2: 0.007380127906799316
Epoch 119 - Train Loss: 575231727104124.1, Train r2: 0.006752729415893555, Val Loss: 577629585161276.2, Val r2: 0.007382690906524658
Epoch 120 - Train Loss: 576172214110642.4, Train r2: 0.006753385066986084, Val Loss: 576560608066620.2, Val r2: 0.007382512092590332
Epoch 121 - Train Loss: 576706687914356.4, Train r2: 0.0067536234855651855, Val Loss: 581534221644980.8, Val r2: 0.007382690906524658
Epoch 122 - Train Loss: 576845247382497.0, Train r2: 0.006753385066986084, Val Loss: 581819100746450.9, Val r2: 0.007383286952972412
Epoch 123 - Train Loss: 576059962842391.2, Train r2: 0.006753385066986084, Val Loss: 575537691338149.6, Val r2: 0.007383525371551514
Epoch 124 - Train Loss: 576356221531725.6, Train r2: 0.006753385066986084, Val Loss: 580221319620005.6, Val r2: 0.007383167743682861
Epoch 125 - Train Loss: 575403257360508.1, Train r2: 0.006753504276275635, Val Loss: 574853996100668.2, Val r2: 0.007383167743682861
Epoch 126 - Train Loss: 575719152001768.8, Train r2: 0.006753504276275635, Val Loss: 578395204531380.8, Val r2: 0.007383286952972412
Epoch 127 - Train Loss: 575495237684627.4, Train r2: 0.006753385066986084, Val Loss: 580442563728082.9, Val r2: 0.007383525371551514
Epoch 128 - Train Loss: 575217946400581.9, Train r2: 0.006753385066986084, Val Loss: 577323442418868.8, Val r2: 0.007383286952972412
Epoch 129 - Train Loss: 575547043694033.5, Train r2: 0.006753504276275635, Val Loss: 577954774978319.0, Val r2: 0.007384181022644043
Epoch 130 - Train Loss: 575864489465173.4, Train r2: 0.006753385066986084, Val Loss: 576003032096286.1, Val r2: 0.007384598255157471
Epoch 131 - Train Loss: 576149755519224.2, Train r2: 0.0067536234855651855, Val Loss: 576008434359838.1, Val r2: 0.007384836673736572
Epoch 132 - Train Loss: 576025655977673.8, Train r2: 0.006753504276275635, Val Loss: 575399111533989.6, Val r2: 0.007385194301605225
Epoch 133 - Train Loss: 576009853365403.1, Train r2: 0.006753504276275635, Val Loss: 579509709068890.4, Val r2: 0.0073860883712768555
Epoch 134 - Train Loss: 576321587765496.2, Train r2: 0.0067536234855651855, Val Loss: 575276643778560.0, Val r2: 0.007386326789855957
Epoch 135 - Train Loss: 576265922488009.8, Train r2: 0.006753385066986084, Val Loss: 577527098083207.5, Val r2: 0.007385611534118652
Epoch 136 - Train Loss: 575693802645193.8, Train r2: 0.006753504276275635, Val Loss: 577966653247247.0, Val r2: 0.007385194301605225
Epoch 137 - Train Loss: 575996201287183.5, Train r2: 0.0067536234855651855, Val Loss: 583647167913502.1, Val r2: 0.007385194301605225
Epoch 138 - Train Loss: 576415846232188.1, Train r2: 0.0067536234855651855, Val Loss: 574561579094738.9, Val r2: 0.007385551929473877
Epoch 139 - Train Loss: 575668976432717.6, Train r2: 0.006753504276275635, Val Loss: 573704823913532.2, Val r2: 0.007385194301605225
Epoch 140 - Train Loss: 576093021583918.5, Train r2: 0.006753504276275635, Val Loss: 576164413123885.1, Val r2: 0.007385194301605225
Epoch 141 - Train Loss: 575691333852439.2, Train r2: 0.0067536234855651855, Val Loss: 583801676203911.5, Val r2: 0.007385194301605225
Epoch 142 - Train Loss: 575809920299132.1, Train r2: 0.006753504276275635, Val Loss: 582242910986721.9, Val r2: 0.007385313510894775
Epoch 143 - Train Loss: 575815022606398.0, Train r2: 0.0067536234855651855, Val Loss: 580853305503985.0, Val r2: 0.007385313510894775
Epoch 144 - Train Loss: 575473255972864.0, Train r2: 0.0067536234855651855, Val Loss: 581311029406057.4, Val r2: 0.007385313510894775
Epoch 145 - Train Loss: 576183762427655.8, Train r2: 0.0067536234855651855, Val Loss: 581987695976929.9, Val r2: 0.007385432720184326
